item1,item2,correlation
love,blue,0.6546536707079771
heart,blue,0.6546536707079771
beautiful,blue,0.74535599249993
death,blue,0.6546536707079771
dark,blue,0.6546536707079771
lay,blue,0.6546536707079771
found,blue,0.3333333333333333
fellow,blue,1
dear,blue,0.6546536707079771
day,blue,0.6546536707079771
sleep,blue,0.3333333333333333
pale,blue,0.74535599249993
flowers,blue,0.6546536707079771
yellow,blue,0.6546536707079771
play,blue,0.3333333333333333
soft,blue,0.3333333333333333
book,blue,0.6546536707079771
read,blue,0.6546536707079771
fire,blue,0.3333333333333333
desire,blue,0.3333333333333333
run,blue,0.3333333333333333
slowly,blue,0.6546536707079771
true,blue,0.74535599249993
beneath,blue,0.3333333333333333
lips,blue,0.74535599249993
grey,blue,0.6546536707079771
word,blue,0.6546536707079771
words,blue,0.6546536707079771
round,blue,0.6546536707079771
rest,blue,0.3333333333333333
ah,blue,0.3333333333333333
sun,blue,0.6546536707079771
sound,blue,0.3333333333333333
phrase,blue,0.3333333333333333
beauty,blue,0.3333333333333333
standing,blue,1
speak,blue,0.6546536707079771
close,blue,0.74535599249993
cold,blue,0.3333333333333333
road,blue,0.3333333333333333
boy,blue,0.74535599249993
father,blue,0.74535599249993
told,blue,0.3333333333333333
looked,blue,0.3333333333333333
mother,blue,0.5773502691896257
brought,blue,0.3333333333333333
paper,blue,0.3333333333333333
stephen,blue,0.21821789023599236
boys,blue,0.5773502691896257
answered,blue,0.5773502691896257
dedalus,blue,0.21821789023599236
nice,blue,0.3333333333333333
hall,blue,0.74535599249993
ran,blue,0.74535599249993
sky,blue,0.3333333333333333
sitting,blue,0.3333333333333333
waiting,blue,0.3333333333333333
dinner,blue,0.3333333333333333
walked,blue,0.3333333333333333
talking,blue,0.3333333333333333
top,blue,0.5773502691896257
thinking,blue,0.3333333333333333
passed,blue,0.3333333333333333
pink,blue,0.3333333333333333
corner,blue,0.3333333333333333
god,blue,0.3333333333333333
person,blue,0.5773502691896257
real,blue,0.74535599249993
country,blue,0.3333333333333333
stood,blue,0.3333333333333333
call,blue,0.5773502691896257
smiling,blue,0.5773502691896257
smiled,blue,0.74535599249993
pleasure,blue,0.5773502691896257
church,blue,0.74535599249993
fine,blue,0.74535599249993
happened,blue,0.5773502691896257
children,blue,0.3333333333333333
couldn’t,blue,0.3333333333333333
suddenly,blue,0.3333333333333333
girl,blue,0.3333333333333333
taking,blue,0.3333333333333333
feeling,blue,0.5773502691896257
sin,blue,0.5773502691896257
arm,blue,0.74535599249993
front,blue,0.5773502691896257
family,blue,0.5773502691896257
carriage,blue,0.3333333333333333
josephine,blue,0.3333333333333333
idea,blue,0.5773502691896257
simply,blue,0.74535599249993
girls,blue,0.3333333333333333
cranly,blue,0.21821789023599236
flanders,blue,0.3333333333333333
combray,blue,0.21821789023599236
mme,blue,0.21821789023599236
françoise,blue,0.21821789023599236
swann,blue,0.21821789023599236
verdurin,blue,0.21821789023599236
odette,blue,0.21821789023599236
jacob,blue,0.3333333333333333
kezia,blue,0.21821789023599236
blue,love,0.6546536707079771
beautiful,love,0.4879500364742666
dark,love,0.9999999999999998
lay,love,0.9999999999999998
fellow,love,0.6546536707079771
sleep,love,0.6546536707079771
pale,love,0.4879500364742666
flowers,love,0.9999999999999998
yellow,love,0.9999999999999998
soft,love,0.6546536707079771
slowly,love,0.9999999999999998
true,love,0.4879500364742666
beneath,love,0.6546536707079771
lips,love,0.4879500364742666
grey,love,0.9999999999999998
ah,love,0.6546536707079771
phrase,love,0.6546536707079771
standing,love,0.6546536707079771
close,love,0.4879500364742666
boy,love,0.4879500364742666
father,love,0.4879500364742666
looked,love,0.6546536707079771
mother,love,0.3779644730092272
brought,love,0.6546536707079771
paper,love,0.6546536707079771
boys,love,0.3779644730092272
body,love,0.4879500364742666
answered,love,0.3779644730092272
hall,love,0.4879500364742666
caught,love,0.4879500364742666
ran,love,0.4879500364742666
sky,love,0.6546536707079771
sitting,love,0.6546536707079771
tea,love,0.4879500364742666
talking,love,0.6546536707079771
top,love,0.3779644730092272
matter,love,0.4879500364742666
pink,love,0.6546536707079771
corner,love,0.6546536707079771
person,love,0.3779644730092272
