word,n
street,25
time,23
cf,20
water,19
hair,17
evening,15
dead,14
night,14
eyes,12
che,11
rock,11
white,11
afternoon,10
feet,10
iii,10
lamp,10
light,10
door,9
dry,9
hands,9
window,9
air,8
broken,8
city,8
hand,8
ii,8
it’s,8
jug,8
la,8
life,8
mountains,8
song,8
tea,8
arms,7
brown,7
friends,7
king,7
lady,7
poem,7
red,7
sea,7
silence,7
spring,7
wind,7
_the,6
days,6
de,6
drop,6
feel,6
friend,6
garden,6
goonight,6
half,6
iv,6
memory,6
miss,6
morning,6
smells,6
smile,6
smoke,6
soul,6
sound,6
speak,6
thunder,6
tiresias,6
winter,6
woman,6
world,6
worth,6
bed,5
bones,5
boston,5
burning,5
death,5
departed,5
der,5
di,5
dying,5
fingers,5
fog,5
head,5
hear,5
heard,5
home,5
hour,5
hurry,5
late,5
london,5
lord,5
meet,5
music,5
people,5
rain,5
sat,5
scene,5
sit,5
streets,5
table,5
thames,5
transcript,5
und,5
yellow,5
albert,4
apollinax,4
aware,4
book,4
bring,4
can’t,4
chess,4
coming,4
curled,4
dare,4
dark,4
empty,4
falling,4
found,4
game,4
glass,4
heart,4
hold,4
key,4
leave,4
left,4
line,4
lost,4
merchant,4
mind,4
moment,4
moon,4
mount,4
nancy,4
o’clock,4
pack,4
past,4
phoenician,4
prince,4
question,4
rose,4
sailor,4
sermon,4
shadow,4
shantih,4
short,4
singing,4
softly,4
spread,4
stair,4
stand,4
sweet,4
talk,4
thinking,4
understand,4
violet,4
vos,4
wall,4
weave,4
wept,4
women,4
210,3
_inferno_,3
aunt,3
bad,3
bank,3
beat,3
begins,3
black,3
blind,3
bloom,3
body,3
brain,3
careful,3
ceiling,3
chapel,3
coffee,3
conversation,3
cousin,3
crept,3
currants,3
da,3
damp,3
dance,3
died,3
don’t,3
drowned,3
dull,3
dust,3
ears,3
eastern,3
eternal,3
eye,3
fall,3
falls,3
feelings,3
fire,3
floor,3
free,3
grass,3
green,3
grow,3
hanged,3
held,3
helen,3
hills,3
