gutenberg_id,text,book,author
1429,At the Bay,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,I,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"Very early morning. The sun was not yet risen, and the whole of",The Garden Party,Katherine Mansfield
1429,Crescent Bay was hidden under a white sea-mist. The big bush-covered,The Garden Party,Katherine Mansfield
1429,hills at the back were smothered. You could not see where they ended,The Garden Party,Katherine Mansfield
1429,and the paddocks and bungalows began. The sandy road was gone and the,The Garden Party,Katherine Mansfield
1429,paddocks and bungalows the other side of it; there were no white dunes,The Garden Party,Katherine Mansfield
1429,covered with reddish grass beyond them; there was nothing to mark which,The Garden Party,Katherine Mansfield
1429,was beach and where was the sea. A heavy dew had fallen. The grass was,The Garden Party,Katherine Mansfield
1429,"blue. Big drops hung on the bushes and just did not fall; the silvery,",The Garden Party,Katherine Mansfield
1429,"fluffy toi-toi was limp on its long stalks, and all the marigolds and",The Garden Party,Katherine Mansfield
1429,the pinks in the bungalow gardens were bowed to the earth with wetness.,The Garden Party,Katherine Mansfield
1429,"Drenched were the cold fuchsias, round pearls of dew lay on the flat",The Garden Party,Katherine Mansfield
1429,nasturtium leaves. It looked as though the sea had beaten up softly in,The Garden Party,Katherine Mansfield
1429,"the darkness, as though one immense wave had come rippling,",The Garden Party,Katherine Mansfield
1429,rippling—how far? Perhaps if you had waked up in the middle of the,The Garden Party,Katherine Mansfield
1429,night you might have seen a big fish flicking in at the window and gone,The Garden Party,Katherine Mansfield
1429,again....,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,Ah-Aah! sounded the sleepy sea. And from the bush there came the sound,The Garden Party,Katherine Mansfield
1429,"of little streams flowing, quickly, lightly, slipping between the",The Garden Party,Katherine Mansfield
1429,"smooth stones, gushing into ferny basins and out again; and there was",The Garden Party,Katherine Mansfield
1429,"the splashing of big drops on large leaves, and something else—what was",The Garden Party,Katherine Mansfield
1429,"it?—a faint stirring and shaking, the snapping of a twig and then such",The Garden Party,Katherine Mansfield
1429,silence that it seemed some one was listening.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"Round the corner of Crescent Bay, between the piled-up masses of broken",The Garden Party,Katherine Mansfield
1429,"rock, a flock of sheep came pattering. They were huddled together, a",The Garden Party,Katherine Mansfield
1429,"small, tossing, woolly mass, and their thin, stick-like legs trotted",The Garden Party,Katherine Mansfield
