gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
2814,Dubliners,"Joyce, James",1039,en,Banned Books from Anne Haight's list,Public domain in the USA.,FALSE
2817,Chamber Music,"Joyce, James",1039,en,NA,Public domain in the USA.,FALSE
4217,A Portrait of the Artist as a Young Man,"Joyce, James",1039,en,NA,Public domain in the USA.,FALSE
4300,Ulysses,"Joyce, James",1039,en,Best Books Ever Listings/Erotic Fiction/Banned Books from Anne Haight's list/Banned Books List from the American Library Association,Public domain in the USA.,FALSE
7872,Dubliners,"Joyce, James",1039,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
20601,Chamber Music,"Joyce, James",1039,en,NA,Public domain in the USA.,FALSE
55945,Exiles: A Play in Three Acts,"Joyce, James",1039,en,NA,Public domain in the USA.,FALSE
59785,Index of the Project Gutenberg Works of James Joyce,"Joyce, James",1039,en,NA,Public domain in the USA.,FALSE
144,The Voyage Out,"Woolf, Virginia",89,en,NA,Public domain in the USA.,FALSE
1245,Night and Day,"Woolf, Virginia",89,en,NA,Public domain in the USA.,FALSE
5670,Jacob's Room,"Woolf, Virginia",89,en,NA,Public domain in the USA.,TRUE
26584,Night and Day,"Woolf, Virginia",89,en,NA,Public domain in the USA.,FALSE
29220,Monday or Tuesday,"Woolf, Virginia",89,en,NA,Public domain in the USA.,TRUE
63022,Mr. Bennett and Mrs. Brown,"Woolf, Virginia",89,en,NA,Public domain in the USA.,TRUE
63107,Mrs Dalloway in Bond Street,"Woolf, Virginia",89,en,NA,Public domain in the USA.,TRUE
63230,Two Stories,"Woolf, Virginia",89,en,NA,Public domain in the USA.,TRUE
64457,The Common Reader,"Woolf, Virginia",89,en,NA,Public domain in the USA.,FALSE
600,Notes from the Underground,"Dostoyevsky, Fyodor",314,en,NA,Public domain in the USA.,TRUE
2197,The Gambler,"Dostoyevsky, Fyodor",314,en,NA,Public domain in the USA.,TRUE
2302,Poor Folk,"Dostoyevsky, Fyodor",314,en,NA,Public domain in the USA.,FALSE
2554,Crime and Punishment,"Dostoyevsky, Fyodor",314,en,Best Books Ever Listings/Crime Fiction/Harvard Classics,Public domain in the USA.,FALSE
2638,The Idiot,"Dostoyevsky, Fyodor",314,en,Best Books Ever Listings,Public domain in the USA.,FALSE
6536,Notes from the Underground,"Dostoyevsky, Fyodor",314,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
8117,The Possessed (The Devils),"Dostoyevsky, Fyodor",314,en,Best Books Ever Listings,Public domain in the USA.,FALSE
8578,The Grand Inquisitor,"Dostoyevsky, Fyodor",314,en,Racism,Public domain in the USA.,TRUE
14918,Souvenirs de la maison des morts,"Dostoyevsky, Fyodor",314,fr,FR Littérature,Public domain in the USA.,TRUE
15557,"Carnet d'un inconnu
(Stépantchikovo)","Dostoyevsky, Fyodor",314,fr,FR Littérature,Public domain in the USA.,TRUE
16824,Les possédés,"Dostoyevsky, Fyodor",314,fr,Best Books Ever Listings/FR Littérature,Public domain in the USA.,TRUE
21183,Белые ночи,"Dostoyevsky, Fyodor",314,ru,NA,Public domain in the USA.,FALSE
21186,Записки из подполья,"Dostoyevsky, Fyodor",314,ru,NA,Public domain in the USA.,FALSE
27319,Valkoisia öitä,"Dostoyevsky, Fyodor",314,fi,NA,Public domain in the USA.,TRUE
28054,The Brothers Karamazov,"Dostoyevsky, Fyodor",314,en,Best Books Ever Listings,Public domain in the USA.,FALSE
31657,Um club da Má-Lingua,"Dostoyevsky, Fyodor",314,pt,NA,Public domain in the USA.,TRUE
34225,Zápisky z mrtvého domu,"Dostoyevsky, Fyodor",314,cs,NA,Public domain in the USA.,FALSE
35339,Arme Leute,"Dostoyevsky, Fyodor",314,de,DE Prosa,Public domain in the USA.,TRUE
36034,"White Nights and Other Stories
The Novels of Fyodor Dostoevsky, Volume X","Dostoyevsky, Fyodor",314,en,NA,Public domain in the USA.,TRUE
37525,Dvojník. Nétička Nezvánova a Malinký Hrdina,"Dostoyevsky, Fyodor",314,cs,NA,Public domain in the USA.,FALSE
37536,"The House of the Dead; or, Prison Life in Siberia
with an introduction by Julius Bramont","Dostoyevsky, Fyodor",314,en,NA,Public domain in the USA.,TRUE
38241,Uncle's Dream; and The Permanent Husband,"Dostoyevsky, Fyodor",314,en,NA,Public domain in the USA.,TRUE
38336,Der Großinquisitor,"Dostoyevsky, Fyodor",314,de,DE Prosa,Public domain in the USA.,FALSE
40745,Short Stories,"Dostoyevsky, Fyodor",314,en,NA,Public domain in the USA.,TRUE
45263,"Rikos ja rangaistus
Kuusiosainen romaani ynnä epilogi","Dostoyevsky, Fyodor",314,fi,NA,Public domain in the USA.,TRUE
48527,Der Doppelgänger,"Dostoyevsky, Fyodor",314,de,NA,Public domain in the USA.,TRUE
49110,Pelaaja,"Dostoyevsky, Fyodor",314,fi,NA,Public domain in the USA.,TRUE
49251,Muistelmia kuolleesta talosta,"Dostoyevsky, Fyodor",314,fi,NA,Public domain in the USA.,TRUE
52005,Sorrettuja ja solvaistuja: Romaani,"Dostoyevsky, Fyodor",314,fi,NA,Public domain in the USA.,TRUE
