gutenberg_id,text,book
600,PART I,Notes from the Underground
600,Underground,Notes from the Underground
600,,Notes from the Underground
600,,Notes from the Underground
600,,Notes from the Underground
600,,Notes from the Underground
600,I,Notes from the Underground
600,,Notes from the Underground
600,,Notes from the Underground
600,I am a sick man.... I am a spiteful man. I am an unattractive man. I,Notes from the Underground
600,"believe my liver is diseased. However, I know nothing at all about my",Notes from the Underground
600,"disease, and do not know for certain what ails me. I don’t consult a",Notes from the Underground
600,"doctor for it, and never have, though I have a respect for medicine and",Notes from the Underground
600,"doctors. Besides, I am extremely superstitious, sufficiently so to",Notes from the Underground
600,"respect medicine, anyway (I am well-educated enough not to be",Notes from the Underground
600,"superstitious, but I am superstitious). No, I refuse to consult a",Notes from the Underground
600,"doctor from spite. That you probably will not understand. Well, I",Notes from the Underground
600,"understand it, though. Of course, I can’t explain who it is precisely",Notes from the Underground
600,that I am mortifying in this case by my spite: I am perfectly well,Notes from the Underground
600,aware that I cannot “pay out” the doctors by not consulting them; I,Notes from the Underground
600,know better than anyone that by all this I am only injuring myself and,Notes from the Underground
600,"no one else. But still, if I don’t consult a doctor it is from spite.",Notes from the Underground
600,"My liver is bad, well—let it get worse!",Notes from the Underground
600,,Notes from the Underground
600,I have been going on like that for a long time—twenty years. Now I am,Notes from the Underground
600,"forty. I used to be in the government service, but am no longer. I was",Notes from the Underground
600,a spiteful official. I was rude and took pleasure in being so. I did,Notes from the Underground
600,"not take bribes, you see, so I was bound to find a recompense in that,",Notes from the Underground
600,"at least. (A poor jest, but I will not scratch it out. I wrote it",Notes from the Underground
600,thinking it would sound very witty; but now that I have seen myself,Notes from the Underground
600,"that I only wanted to show off in a despicable way, I will not scratch",Notes from the Underground
600,it out on purpose!),Notes from the Underground
600,,Notes from the Underground
600,When petitioners used to come for information to the table at which I,Notes from the Underground
600,"sat, I used to grind my teeth at them, and felt intense enjoyment when",Notes from the Underground
600,I succeeded in making anybody unhappy. I almost did succeed. For the,Notes from the Underground
600,"most part they were all timid people—of course, they were petitioners.",Notes from the Underground
600,But of the uppish ones there was one officer in particular I could not,Notes from the Underground
600,"endure. He simply would not be humble, and clanked his sword in a",Notes from the Underground
600,disgusting way. I carried on a feud with him for eighteen months over,Notes from the Underground
600,that sword. At last I got the better of him. He left off clanking it.,Notes from the Underground
600,"That happened in my youth, though.",Notes from the Underground
600,,Notes from the Underground
600,"But do you know, gentlemen, what was the chief point about my spite?",Notes from the Underground
600,"Why, the whole point, the real sting of it lay in the fact that",Notes from the Underground
600,"continually, even in the moment of the acutest spleen, I was inwardly",Notes from the Underground
600,conscious with shame that I was not only not a spiteful but not even an,Notes from the Underground
600,"embittered man, that I was simply scaring sparrows at random and",Notes from the Underground
600,"amusing myself by it. I might foam at the mouth, but bring me a doll to",Notes from the Underground
600,"play with, give me a cup of tea with sugar in it, and maybe I should be",Notes from the Underground
600,"appeased. I might even be genuinely touched, though probably I should",Notes from the Underground
600,grind my teeth at myself afterwards and lie awake at night with shame,Notes from the Underground
600,for months after. That was my way.,Notes from the Underground
600,,Notes from the Underground
600,I was lying when I said just now that I was a spiteful official. I was,Notes from the Underground
600,lying from spite. I was simply amusing myself with the petitioners and,Notes from the Underground
600,"with the officer, and in reality I never could become spiteful. I was",Notes from the Underground
600,"conscious every moment in myself of many, very many elements absolutely",Notes from the Underground
600,"opposite to that. I felt them positively swarming in me, these opposite",Notes from the Underground
600,elements. I knew that they had been swarming in me all my life and,Notes from the Underground
600,"craving some outlet from me, but I would not let them, would not let",Notes from the Underground
600,"them, purposely would not let them come out. They tormented me till I",Notes from the Underground
600,"was ashamed: they drove me to convulsions and—sickened me, at last, how",Notes from the Underground
