gutenberg_id,text,book
4217,Chapter I,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,Once upon a time and a very good time it was there was a moocow coming,A Portrait of the Artist as a Young Man
4217,down along the road and this moocow that was coming down along the road,A Portrait of the Artist as a Young Man
4217,met a nicens little boy named baby tuckoo....,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,His father told him that story: his father looked at him through a,A Portrait of the Artist as a Young Man
4217,glass: he had a hairy face.,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,He was baby tuckoo. The moocow came down the road where Betty Byrne,A Portrait of the Artist as a Young Man
4217,lived: she sold lemon platt.,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,"    O, the wild rose blossoms",A Portrait of the Artist as a Young Man
4217,    On the little green place.,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,He sang that song. That was his song.,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,"    O, the green wothe botheth.",A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,"When you wet the bed, first it is warm then it gets cold. His mother",A Portrait of the Artist as a Young Man
4217,put on the oilsheet. That had the queer smell.,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,His mother had a nicer smell than his father. She played on the piano,A Portrait of the Artist as a Young Man
4217,the sailor’s hornpipe for him to dance. He danced:,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,"    Tralala lala,",A Portrait of the Artist as a Young Man
4217,"    Tralala tralaladdy,",A Portrait of the Artist as a Young Man
4217,"    Tralala lala,",A Portrait of the Artist as a Young Man
4217,    Tralala lala.,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,Uncle Charles and Dante clapped. They were older than his father and,A Portrait of the Artist as a Young Man
4217,mother but uncle Charles was older than Dante.,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,Dante had two brushes in her press. The brush with the maroon velvet,A Portrait of the Artist as a Young Man
4217,back was for Michael Davitt and the brush with the green velvet back,A Portrait of the Artist as a Young Man
4217,was for Parnell. Dante gave him a cachou every time he brought her a,A Portrait of the Artist as a Young Man
4217,piece of tissue paper.,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,The Vances lived in number seven. They had a different father and,A Portrait of the Artist as a Young Man
4217,mother. They were Eileen’s father and mother. When they were grown up,A Portrait of the Artist as a Young Man
4217,he was going to marry Eileen. He hid under the table. His mother said:,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,"—O, Stephen will apologise.",A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,Dante said:,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,"—O, if not, the eagles will come and pull out his eyes.—",A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,"    Pull out his eyes,",A Portrait of the Artist as a Young Man
4217,"    Apologise,",A Portrait of the Artist as a Young Man
4217,"    Apologise,",A Portrait of the Artist as a Young Man
4217,    Pull out his eyes.,A Portrait of the Artist as a Young Man
4217,"    Apologise,",A Portrait of the Artist as a Young Man
4217,"    Pull out his eyes,",A Portrait of the Artist as a Young Man
4217,"    Pull out his eyes,",A Portrait of the Artist as a Young Man
4217,    Apologise.,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,The wide playgrounds were swarming with boys. All were shouting and the,A Portrait of the Artist as a Young Man
4217,prefects urged them on with strong cries. The evening air was pale and,A Portrait of the Artist as a Young Man
4217,chilly and after every charge and thud of the footballers the greasy,A Portrait of the Artist as a Young Man
4217,leather orb flew like a heavy bird through the grey light. He kept on,A Portrait of the Artist as a Young Man
4217,"the fringe of his line, out of sight of his prefect, out of the reach",A Portrait of the Artist as a Young Man
4217,"of the rude feet, feigning to run now and then. He felt his body small",A Portrait of the Artist as a Young Man
4217,and weak amid the throng of the players and his eyes were weak and,A Portrait of the Artist as a Young Man
4217,watery. Rody Kickham was not like that: he would be captain of the,A Portrait of the Artist as a Young Man
4217,third line all the fellows said.,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,Rody Kickham was a decent fellow but Nasty Roche was a stink. Rody,A Portrait of the Artist as a Young Man
4217,Kickham had greaves in his number and a hamper in the refectory. Nasty,A Portrait of the Artist as a Young Man
4217,Roche had big hands. He called the Friday pudding dog-in-the-blanket.,A Portrait of the Artist as a Young Man
4217,And one day he had asked:,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,—What is your name?,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,Stephen had answered: Stephen Dedalus.,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,Then Nasty Roche had said:,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,—What kind of a name is that?,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
4217,And when Stephen had not been able to answer Nasty Roche had asked:,A Portrait of the Artist as a Young Man
4217,,A Portrait of the Artist as a Young Man
