gutenberg_id,text,book
7178,OVERTURE,Swann's Way
7178,,Swann's Way
7178,"For a long time I used to go to bed early. Sometimes, when I had put out",Swann's Way
7178,"my candle, my eyes would close so quickly that I had not even time to",Swann's Way
7178,"say ""I'm going to sleep."" And half an hour later the thought that it was",Swann's Way
7178,time to go to sleep would awaken me; I would try to put away the book,Swann's Way
7178,"which, I imagined, was still in my hands, and to blow out the light; I",Swann's Way
7178,"had been thinking all the time, while I was asleep, of what I had just",Swann's Way
7178,"been reading, but my thoughts had run into a channel of their own,",Swann's Way
7178,until I myself seemed actually to have become the subject of my book:,Swann's Way
7178,"a church, a quartet, the rivalry between François I and Charles V. This",Swann's Way
7178,impression would persist for some moments after I was awake; it did not,Swann's Way
7178,"disturb my mind, but it lay like scales upon my eyes and prevented them",Swann's Way
7178,from registering the fact that the candle was no longer burning. Then,Swann's Way
7178,"it would begin to seem unintelligible, as the thoughts of a former",Swann's Way
7178,existence must be to a reincarnate spirit; the subject of my book would,Swann's Way
7178,"separate itself from me, leaving me free to choose whether I would form",Swann's Way
7178,part of it or no; and at the same time my sight would return and I,Swann's Way
7178,"would be astonished to find myself in a state of darkness, pleasant and",Swann's Way
7178,"restful enough for the eyes, and even more, perhaps, for my mind, to",Swann's Way
7178,"which it appeared incomprehensible, without a cause, a matter dark",Swann's Way
7178,indeed.,Swann's Way
7178,,Swann's Way
7178,I would ask myself what o'clock it could be; I could hear the whistling,Swann's Way
7178,"of trains, which, now nearer and now farther off, punctuating the",Swann's Way
7178,"distance like the note of a bird in a forest, shewed me in perspective",Swann's Way
7178,the deserted countryside through which a traveller would be hurrying,Swann's Way
7178,towards the nearest station: the path that he followed being fixed for,Swann's Way
7178,ever in his memory by the general excitement due to being in a strange,Swann's Way
7178,"place, to doing unusual things, to the last words of conversation, to",Swann's Way
7178,farewells exchanged beneath an unfamiliar lamp which echoed still in his,Swann's Way
7178,ears amid the silence of the night; and to the delightful prospect of,Swann's Way
7178,being once again at home.,Swann's Way
7178,,Swann's Way
7178,I would lay my cheeks gently against the comfortable cheeks of my,Swann's Way
7178,"pillow, as plump and blooming as the cheeks of babyhood. Or I would",Swann's Way
7178,strike a match to look at my watch. Nearly midnight. The hour when an,Swann's Way
7178,"invalid, who has been obliged to start on a journey and to sleep in a",Swann's Way
7178,"strange hotel, awakens in a moment of illness and sees with glad relief",Swann's Way
7178,"a streak of daylight shewing under his bedroom door. Oh, joy of joys!",Swann's Way
7178,"it is morning. The servants will be about in a minute: he can ring,",Swann's Way
7178,and some one will come to look after him. The thought of being made,Swann's Way
7178,comfortable gives him strength to endure his pain. He is certain he,Swann's Way
7178,"heard footsteps: they come nearer, and then die away. The ray of light",Swann's Way
7178,beneath his door is extinguished. It is midnight; some one has turned,Swann's Way
7178,"out the gas; the last servant has gone to bed, and he must lie all night",Swann's Way
7178,in agony with no one to bring him any help.,Swann's Way
7178,,Swann's Way
7178,"I would fall asleep, and often I would be awake again for short snatches",Swann's Way
